Country,Date,Exchange Rate ($)
Brazil,REF_AREA,BR
Germany,1997-03,91.06
Germany,1997-04,90.78
Germany,1997-05,90.83
Germany,1997-06,90.15
Germany,1997-07,88.88
Germany,1997-08,88.63
Germany,1997-09,90.06
Germany,1997-10,91.02
Germany,1997-11,91.91
Germany,1997-12,92.28
Germany,1998-01,92.58
Germany,1998-02,92.23
Germany,1998-03,91.87
Germany,1998-04,92.2
Germany,1998-05,93.53
Germany,1998-06,93.84
Germany,1998-07,93.81
Germany,1998-08,94.61
Germany,1998-09,96.75
Germany,1998-10,97.46
Germany,1998-11,96.44
Germany,1998-12,96.82
Germany,1999-01,96.7
Germany,1999-02,96.04
Germany,1999-03,95.4
Germany,1999-04,94.75
Germany,1999-05,94.45
Germany,1999-06,93.48
Germany,1999-07,93.4
Germany,1999-08,94.15
Germany,1999-09,93.6
Germany,1999-10,94.3
Germany,1999-11,93.04
Germany,1999-12,92.05
Germany,2000-01,92.14
Germany,2000-02,91.41
Germany,2000-03,90.57
Germany,2000-04,89.93
Germany,2000-05,89.04
Germany,2000-06,90.68
Germany,2000-07,90.35
Germany,2000-08,89.02
Germany,2000-09,88.02
Germany,2000-10,87.55
Germany,2000-11,87.85
Germany,2000-12,89.53
Germany,2001-01,91.46
Germany,2001-02,91.02
Germany,2001-03,91.18
Germany,2001-04,90.95
Germany,2001-05,89.95
Germany,2001-06,89.2
Germany,2001-07,89.84
Germany,2001-08,91.39
Germany,2001-09,91.86
Germany,2001-10,91.89
Germany,2001-11,91.01
Germany,2001-12,91.26
Germany,2002-01,90.99
Germany,2002-02,90.6
Germany,2002-03,90.65
Germany,2002-04,90.78
Germany,2002-05,91.9
Germany,2002-06,93.38
Germany,2002-07,94.54
Germany,2002-08,94.28
Germany,2002-09,94.4
Germany,2002-10,94.64
Germany,2002-11,94.98
Germany,2002-12,95.55
Germany,2003-01,96.98
Germany,2003-02,97.7
Germany,2003-03,98.06
Germany,2003-04,98.1
Germany,2003-05,100.0
Germany,2003-06,100.33
Germany,2003-07,99.56
Germany,2003-08,98.91
Germany,2003-09,98.88
Germany,2003-10,99.99
Germany,2003-11,100.05
Germany,2003-12,101.66
Germany,2004-01,102.32
Germany,2004-02,102.34
Germany,2004-03,101.22
Germany,2004-04,100.3
Germany,2004-05,100.88
Germany,2004-06,100.87
Germany,2004-07,101.04
Germany,2004-08,100.96
Germany,2004-09,101.08
Germany,2004-10,101.65
Germany,2004-11,102.34
Germany,2004-12,102.94
Germany,2005-01,102.11
Germany,2005-02,101.55
Germany,2005-03,102.02
Germany,2005-04,101.65
Germany,2005-05,100.99
Germany,2005-06,99.44
Germany,2005-07,99.46
Germany,2005-08,99.74
Germany,2005-09,99.45
Germany,2005-10,99.2
Germany,2005-11,98.68
Germany,2005-12,98.65
Germany,2006-01,98.92
Germany,2006-02,98.38
Germany,2006-03,98.85
Germany,2006-04,99.47
Germany,2006-05,100.46
Germany,2006-06,100.85
Germany,2006-07,100.92
Germany,2006-08,100.9
Germany,2006-09,100.82
Germany,2006-10,100.41
Germany,2006-11,100.68
Germany,2006-12,101.21
Germany,2007-01,100.81
Germany,2007-02,100.99
Germany,2007-03,101.34
Germany,2007-04,101.75
Germany,2007-05,101.66
Germany,2007-06,101.44
Germany,2007-07,101.74
Germany,2007-08,101.69
Germany,2007-09,102.14
Germany,2007-10,102.53
Germany,2007-11,103.31
Germany,2007-12,103.17
Germany,2008-01,103.32
Germany,2008-02,103.13
Germany,2008-03,104.69
Germany,2008-04,105.21
Germany,2008-05,104.77
Germany,2008-06,104.53
Germany,2008-07,104.53
Germany,2008-08,103.09
Germany,2008-09,102.34
Germany,2008-10,100.99
Germany,2008-11,100.4
Germany,2008-12,103.13
Germany,2009-01,103.24
Germany,2009-02,103.03
Germany,2009-03,104.18
Germany,2009-04,103.56
Germany,2009-05,103.88
Germany,2009-06,104.64
Germany,2009-07,104.45
Germany,2009-08,104.48
Germany,2009-09,105.07
Germany,2009-10,105.53
Germany,2009-11,105.55
Germany,2009-12,104.9
Germany,2010-01,103.61
Germany,2010-02,102.08
Germany,2010-03,101.39
Germany,2010-04,100.57
Germany,2010-05,98.77
Germany,2010-06,97.7
Germany,2010-07,98.84
Germany,2010-08,98.66
Germany,2010-09,98.8
Germany,2010-10,100.7
Germany,2010-11,100.06
Germany,2010-12,98.83
Germany,2011-01,98.76
Germany,2011-02,99.54
Germany,2011-03,100.48
Germany,2011-04,101.39
Germany,2011-05,100.9
Germany,2011-06,100.96
Germany,2011-07,100.39
Germany,2011-08,100.64
Germany,2011-09,100.17
Germany,2011-10,100.46
Germany,2011-11,100.24
Germany,2011-12,99.24
Germany,2012-01,97.96
Germany,2012-02,98.16
Germany,2012-03,98.3
Germany,2012-04,98.23
Germany,2012-05,97.57
Germany,2012-06,97.19
Germany,2012-07,96.01
Germany,2012-08,95.98
Germany,2012-09,97.26
Germany,2012-10,97.56
Germany,2012-11,97.24
Germany,2012-12,98.11
Germany,2013-01,98.96
Germany,2013-02,99.56
Germany,2013-03,98.61
Germany,2013-04,98.76
Germany,2013-05,98.85
Germany,2013-06,99.95
Germany,2013-07,99.92
Germany,2013-08,100.69
Germany,2013-09,100.71
Germany,2013-10,101.18
Germany,2013-11,101.19
Germany,2013-12,102.08
Germany,2014-01,102.11
Germany,2014-02,102.32
Germany,2014-03,103.0
Germany,2014-04,102.8
Germany,2014-05,102.34
Germany,2014-06,101.82
Germany,2014-07,101.55
Germany,2014-08,101.14
Germany,2014-09,100.14
Germany,2014-10,99.74
Germany,2014-11,99.69
Germany,2014-12,100.08
Germany,2015-01,97.82
Germany,2015-02,96.67
Germany,2015-03,94.89
Germany,2015-04,94.23
Germany,2015-05,95.49
Germany,2015-06,96.18
Germany,2015-07,95.62
Germany,2015-08,97.17
Germany,2015-09,98.0
Germany,2015-10,97.73
Germany,2015-11,96.01
Germany,2015-12,97.14
Germany,2016-01,98.03
Germany,2016-02,98.77
Germany,2016-03,98.11
Germany,2016-04,98.5
Germany,2016-05,98.79
Germany,2016-06,98.52
Germany,2016-07,98.3
Germany,2016-08,98.5
Germany,2016-09,98.66
Germany,2016-10,98.47
Germany,2016-11,98.32
Germany,2016-12,97.8
Germany,2017-01,97.99
Germany,2017-02,97.55
Germany,2017-03,97.77
Germany,2017-04,97.55
Germany,2017-05,98.81
Germany,2017-06,99.29
Germany,2017-07,100.31
