Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,16/09/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chile,CHL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186000000,1209000000,1401000000,1431000000,1243000000,1179000000,1184000000,1221000000,1309000000,1571000000,1608000000,1853000000,2224000000,2481000000,2380000000,2362000000,2723000000,3158000000,3171000000,3202000000,3412000000,3744000000,4115000000,3911000000,3279000000,1034000000,
China,CHN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12626000000,13229000000,15006000000,17318000000,19006000000,21742000000,18707000000,27755000000,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103000000,107000000,103000000,111000000,107000000,53000000,58000000,56000000,76000000,91000000,93000000,104000000,115000000,129000000,164000000,213000000,186000000,172500000,191000000,195000000,214000000,477000000,509000000,551000000,550500000,199300003.1,
Cameroon,CMR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000000,151000000,119000000,114000000,92000000,132000000,182000000,124000000,266000000,212000000,229000000,231000000,254000000,167000000,271000000,171000000,423000000,377000000,607000000,629000000,476000000,508000000,544000000,633000000,681000000,437000000,
"Congo, Dem. Rep.",COD,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,3100000,700000,700000,24000000,10700000,11400000,6900000,8400000,45400000,100000,4300000,6000000,60500000,,,
"Congo, Rep.",COG,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14669139.86,11017593.38,,,13500000,12399999.62,22600000.38,25600000.38,30000000,23100000.38,,,31399999.62,37000000,85000000,39000000,47000000,68000000,52400001.53,56900001.53,46900001.53,42900001.53,,,,,
Colombia,COL,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887000000,1362000000,1315000000,1216000000,1231000000,1313000000,1483000000,1237000000,1191000000,1535000000,1891000000,2370000000,2616000000,2966000000,3080000000,3473000000,3841000000,4409000000,4819000000,4941000000,5281000000,5631000000,5899000000,6655000000,6784000000,1959000000,
Comoros,COM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000000,23000000,26000000,16000000,19000000,15000000,9000000,10899999.62,15600000.38,21399999.62,24399999.62,27399999.62,30399999.62,37400001.53,32299999.24,35200000.76,42200000.76,39299999.24,,62799999.24,51599998.47,50500000,60599998.47,73699996.95,72699996.95,18500000,
Cabo Verde,CPV,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000,37000000,50000000,45000000,56000000,64000000,77000000,100000000,135000000,153000000,177000000,280000000,375000000,432000000,349000000,387000000,438000000,452000000,483000000,453000000,380000000,397000000,451000000,520000000,567000000,169000000,
Costa Rica,CRI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763000000,797000000,860000000,1038000000,1256000000,1629000000,1480000000,1429000000,1573000000,1755000000,2008000000,2066000000,2454000000,2811000000,2216000000,2426000000,2646000000,2773000000,3171000000,3137000000,3408000000,3776000000,3758000000,4073000000,4282000000,1479000000,
Caribbean small states,CSS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4328852720,4494059064,4705331862,4831670872,5220376079,5535249012,5171516486,5239919916,5675313179,6188372843,6646851692,7036558713,7490671097,7471022003,6939404862,7203576008,7158819740,7704723513,7795442215,9468167770,9836484355,10590877575,,,,,
Cuba,CUB,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000000,1333000000,1515000000,1759000000,1901000000,1948000000,1840000000,1769000000,1999000000,2114000000,2591000000,2414000000,2415000000,2535000000,2249000000,2396000000,2503000000,2614000000,2608000000,2546000000,2819000000,3069000000,3302000000,2783000000,2645000000,1152000000,
Curacao,CUW,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000000,186000000,201000000,261000000,260000000,227000000,271000000,217000000,223000000,224000000,244000000,277000000,329000000,383000000,378000000,438000000,540000000,676000000,778000000,820000000,712000000,644000000,572000000,604000000,706000000,282000000,
Cayman Islands,CYM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394000000,368000000,501000000,534000000,525000000,559000000,585000000,607000000,518000000,523000000,356000000,509000000,481000000,518000000,458000000,465000000,472000000,489000000,500000000,565000000,680000000,708000000,832000000,911000000,964000000,,
Cyprus,CYP,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018044189,1904723511,1850360596,1918303589,2115000000,2137000000,2203000000,2178000000,2325000000,2552000000,2644000000,2692007568,3107000000,3232000000,2476000000,2137000000,2603000000,2603000000,2930000000,2924000000,2525664307,2870000000,3274000000,3449000000,3245000000,663000000,
Czechia,CZE,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376000000,4069000000,4931000000,5772000000,6702000000,7803000000,9228000000,8164000000,8068000000,8930000000,8174000000,7792000000,7614000000,6766000000,7041000000,7695000000,8283000000,7967000000,3890000000,
Germany,DEU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24053000000,23982000000,24500000000,25806000000,25327000000,24943000000,24182000000,26717000000,30129000000,36417000000,40518000000,45560000000,49320000000,53402000000,47499000000,49116000000,53465000000,51626000000,55486000000,58721000000,50669000000,52234000000,55750000000,59446000000,58372000000,,
Djibouti,DJI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400000,4600000,4200000,9300000,7600000,8100000,8600000,8900000,6900000,6800000,7100000,9800000,6800000,7800000,16000000,18000000,19200000,20500000,21600000,24700000,30900000,33500000,36200000,57000000,,,
Dominica,DMA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000000,44000000,48000000,47000000,51000000,48000000,46000000,46000000,52000000,61000000,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,202000000,198000000,161000000,111000000,,,
Denmark,DNK,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3691000000,3420000000,3156000000,3236000000,3698000000,3671000000,4003000000,4791000000,5271000000,5652000000,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7494000000,8508000000,9097000000,,,
Dominican Republic,DOM,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571000000,1781000000,2099000000,2153000000,2483000000,2860000000,2798000000,2730000000,3128000000,3152000000,3518000000,3917000000,4064000000,4166000000,4049000000,4162000000,4391000000,4687000000,5055000000,5630000000,6116000000,6720000000,7184000000,7561000000,,,
Algeria,DZA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477000000,393000000,334000000,473000000,361000000,324000000,300000000,295000000,326000000,316000000,347000000,246000000,171000000,196500000,140000000,50000000,
East Asia & Pacific (excluding high income),EAP,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69122529493,77499102883,94029912835,1.05587E+11,1.13439E+11,1.3197E+11,1.44716E+11,1.37365E+11,1.53301E+11,1.59009E+11,1.68922E+11,1.79326E+11,1.94703E+11,1.94225E+11,1.88152E+11,2.19796E+11,2.44162E+11,2.66595E+11,,
East Asia & Pacific,EAS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41773152256,44332014043,54622195653,67079385619,59010242913,60031123028,71837770176,76682096687,87652930166,85866543244,72231918239,64794278567,77226677470,89044934208,93373739043,,
Europe & Central Asia,ECS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39023E+11,2.27631E+11,2.25884E+11,2.4073E+11,2.79224E+11,3.25591E+11,3.43532E+11,3.74333E+11,4.34151E+11,4.8847E+11,4.26996E+11,4.2492E+11,4.91024E+11,4.82223E+11,5.22254E+11,5.39719E+11,4.77925E+11,4.77407E+11,5.31629E+11,5.84532E+11,5.89621E+11,,
Ecuador,ECU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000000,330000000,335000000,330000000,377000000,451000000,438000000,449000000,408000000,464000000,488000000,492000000,626000000,745000000,674000000,786000000,849000000,1039000000,1251000000,1487000000,1557000000,1729000000,2018000000,2279000000,2288000000,705000000,
"Egypt, Arab Rep.",EGY,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954000000,3583000000,4046000000,2942000000,4361000000,4657000000,4119000000,4133000000,4704000000,6328000000,7206000000,8133000000,10327000000,12104000000,11757000000,13633000000,9333000000,10823000000,6747000000,7979000000,6897000000,3306000000,8636000000,12704000000,14256000000,4874000000,
Euro area,EMU,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66059E+11,1.55916E+11,1.52967E+11,1.63448E+11,1.89115E+11,2.19333E+11,2.28208E+11,2.48295E+11,2.81121E+11,3.05631E+11,2.67957E+11,2.63076E+11,3.00789E+11,2.89622E+11,3.11097E+11,3.25641E+11,2.93031E+11,2.97293E+11,3.2673E+11,3.56076E+11,3.55219E+11,,
Eritrea,ERI,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000000,69000000,90000000,34000000,28000000,36000000,74000000,73000000,74000000,73000000,66000000,60000000,61000000,46000000,26000000,,,,,,,48000000,,,,,
Spain,ESP,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27369000000,29751000000,28649000000,31592000000,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452000000,565000000,597000000,668000000,702000000,657000000,661000000,737000000,883000000,1111000000,1229000000,1361000000,1416000000,1643000000,,,,,2022000000,2278000000,1893000000,1911000000,2124000000,2326000000,2310000000,865000000,
Ethiopia,ETH,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177000000,170000000,157000000,152000000,176000000,205000000,218000000,261000000,336000000,458000000,533000000,639000000,790000000,1184000000,1119000000,1434000000,1998000000,1980000000,2236000000,2107000000,2279000000,2138000000,2505000000,3548000000,3529000000,2282000000,
