Country,Date,Exchange Rate ($)
Germany,2005-01,107.56
Germany,2005-02,106.8
Germany,2005-03,107.36
Germany,2005-04,106.33
Germany,2005-05,105.63
Germany,2005-06,104.25
Germany,2005-07,104.53
Germany,2005-08,104.7
Germany,2005-09,104.02
Germany,2005-10,103.62
Germany,2005-11,102.84
Germany,2005-12,103.6
Germany,2006-01,103.3
Germany,2006-02,102.87
Germany,2006-03,103.11
Germany,2006-04,103.55
Germany,2006-05,104.2
Germany,2006-06,104.82
Germany,2006-07,105.24
Germany,2006-08,104.83
Germany,2006-09,104.31
Germany,2006-10,103.91
Germany,2006-11,104.07
Germany,2006-12,105.2
Germany,2007-01,104.75
Germany,2007-02,104.98
Germany,2007-03,105.13
Germany,2007-04,105.5
Germany,2007-05,105.1
Germany,2007-06,104.86
Germany,2007-07,105.62
Germany,2007-08,105.22
Germany,2007-09,105.6
Germany,2007-10,105.71
Germany,2007-11,106.52
Germany,2007-12,106.64
Germany,2008-01,106.03
Germany,2008-02,105.58
Germany,2008-03,107.21
Germany,2008-04,107.0
Germany,2008-05,106.52
Germany,2008-06,106.15
Germany,2008-07,106.52
Germany,2008-08,104.77
Germany,2008-09,103.74
Germany,2008-10,102.17
Germany,2008-11,101.64
Germany,2008-12,105.19
Germany,2009-01,104.79
Germany,2009-02,104.8
Germany,2009-03,105.55
Germany,2009-04,104.79
Germany,2009-05,104.84
Germany,2009-06,105.85
Germany,2009-07,105.86
Germany,2009-08,105.85
Germany,2009-09,106.02
Germany,2009-10,106.47
Germany,2009-11,106.03
Germany,2009-12,106.14
Germany,2010-01,103.92
Germany,2010-02,102.4
Germany,2010-03,101.88
Germany,2010-04,100.68
Germany,2010-05,98.75
Germany,2010-06,97.77
Germany,2010-07,99.03
Germany,2010-08,98.76
Germany,2010-09,98.56
Germany,2010-10,100.22
Germany,2010-11,99.56
Germany,2010-12,98.5
Germany,2011-01,97.87
Germany,2011-02,98.71
Germany,2011-03,99.62
Germany,2011-04,100.16
Germany,2011-05,99.33
Germany,2011-06,99.54
Germany,2011-07,99.17
Germany,2011-08,99.32
Germany,2011-09,98.82
Germany,2011-10,98.82
Germany,2011-11,98.58
Germany,2011-12,97.74
Germany,2012-01,95.99
Germany,2012-02,96.52
Germany,2012-03,96.74
Germany,2012-04,96.15
Germany,2012-05,95.44
Germany,2012-06,95.1
Germany,2012-07,94.36
Germany,2012-08,94.27
Germany,2012-09,95.3
Germany,2012-10,95.38
Germany,2012-11,95.26
Germany,2012-12,96.23
Germany,2013-01,96.49
Germany,2013-02,97.19
Germany,2013-03,96.45
Germany,2013-04,96.1
Germany,2013-05,96.56
Germany,2013-06,97.62
Germany,2013-07,97.93
Germany,2013-08,98.52
Germany,2013-09,98.3
Germany,2013-10,98.54
Germany,2013-11,98.77
Germany,2013-12,99.87
Germany,2014-01,99.37
Germany,2014-02,99.66
Germany,2014-03,100.35
Germany,2014-04,99.84
Germany,2014-05,99.1
Germany,2014-06,98.85
Germany,2014-07,98.81
Germany,2014-08,98.45
Germany,2014-09,97.38
Germany,2014-10,96.64
Germany,2014-11,96.75
Germany,2014-12,97.2
Germany,2015-01,94.4
Germany,2015-02,93.51
Germany,2015-03,91.93
Germany,2015-04,91.54
Germany,2015-05,92.73
Germany,2015-06,93.37
Germany,2015-07,93.04
Germany,2015-08,94.5
Germany,2015-09,95.15
Germany,2015-10,94.78
Germany,2015-11,92.54
Germany,2015-12,93.59
Germany,2016-01,94.04
Germany,2016-02,94.69
Germany,2016-03,94.45
Germany,2016-04,94.74
Germany,2016-05,95.32
Germany,2016-06,95.03
Germany,2016-07,95.2
Germany,2016-08,95.26
Germany,2016-09,95.29
Germany,2016-10,95.07
Germany,2016-11,94.22
Germany,2016-12,94.12
Germany,2017-01,93.55
Germany,2017-02,93.38
Germany,2017-03,93.65
Germany,2017-04,93.54
Germany,2017-05,94.72
Germany,2017-06,95.49
Germany,2017-07,96.82
Germany,2017-08,97.58
Germany,2017-09,97.5
Germany,2017-10,96.98
Germany,2017-11,96.51
Germany,2017-12,96.96
Germany,2018-01,96.68
Germany,2018-02,96.74
Germany,2018-03,97.36
Germany,2018-04,97.29
Germany,2018-05,97.11
Germany,2018-06,97.07
Germany,2018-07,98.07
Germany,2018-08,98.12
Germany,2018-09,98.71
Germany,2018-10,97.99
Germany,2018-11,96.98
Germany,2018-12,97.07
Germany,2019-01,96.05
Germany,2019-02,95.6
Germany,2019-03,95.46
Germany,2019-04,95.94
Germany,2019-05,96.35
Germany,2019-06,96.81
Germany,2019-07,96.72
Germany,2019-08,96.81
Germany,2019-09,96.34
Germany,2019-10,96.12
Germany,2019-11,95.01
Germany,2019-12,95.29
Germany,2020-01,94.31
